sig,args,wer,wer_per_talk
palevioletredTogepi,"['uda.kernel_size=5', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5847794849121256,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.36816524908869985, 'BlaiseAguerayArcas_2007': 0.8371467025572006, 'BrianCox_2009U': 0.5245346869712352, 'CraigVenter_2008': 0.7601491300745651, 'DavidMerrill_2009': 0.40996503496503495, 'ElizabethGilbert_2009': 0.285336856010568, 'WadeDavis_2003': 0.8124108416547788}"
darkslateblueElectrode,"['uda.kernel_size=3', 'uda.sigma=1.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9163811208135293,"{'AlGore_2009': 0.9651360544217688, 'BarrySchwartz_2005G': 0.8860874848116647, 'BlaiseAguerayArcas_2007': 0.9468371467025573, 'BrianCox_2009U': 0.9001692047377327, 'CraigVenter_2008': 0.9602319801159901, 'DavidMerrill_2009': 0.9326923076923077, 'ElizabethGilbert_2009': 0.8570673712021136, 'WadeDavis_2003': 0.9417498811222064}"
forestgreenWeedle,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9221841494418039,"{'AlGore_2009': 0.9693877551020408, 'BarrySchwartz_2005G': 0.9003645200486027, 'BlaiseAguerayArcas_2007': 0.946164199192463, 'BrianCox_2009U': 0.9272419627749577, 'CraigVenter_2008': 0.9598177299088649, 'DavidMerrill_2009': 0.9370629370629371, 'ElizabethGilbert_2009': 0.8697490092470277, 'WadeDavis_2003': 0.9384213029006182}"
peruQuagsire,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5847794849121256,"{'AlGore_2009': 0.8630952380952381, 'BarrySchwartz_2005G': 0.36664641555285543, 'BlaiseAguerayArcas_2007': 0.8364737550471063, 'BrianCox_2009U': 0.5245346869712352, 'CraigVenter_2008': 0.7572493786246893, 'DavidMerrill_2009': 0.40821678321678323, 'ElizabethGilbert_2009': 0.28507265521796565, 'WadeDavis_2003': 0.8159771754636234}"
midnightblueKakuna,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9459489333480712,"{'AlGore_2009': 0.9770408163265306, 'BarrySchwartz_2005G': 0.9365127582017011, 'BlaiseAguerayArcas_2007': 0.9508748317631225, 'BrianCox_2009U': 0.9458544839255499, 'CraigVenter_2008': 0.9656172328086164, 'DavidMerrill_2009': 0.958916083916084, 'ElizabethGilbert_2009': 0.922324966974901, 'WadeDavis_2003': 0.949358059914408}"
siennaPichu,"['uda.kernel_size=5', 'uda.sigma=1.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9264949707085222,"{'AlGore_2009': 0.9617346938775511, 'BarrySchwartz_2005G': 0.9064398541919806, 'BlaiseAguerayArcas_2007': 0.9427994616419919, 'BrianCox_2009U': 0.9390862944162437, 'CraigVenter_2008': 0.9618889809444905, 'DavidMerrill_2009': 0.9388111888111889, 'ElizabethGilbert_2009': 0.885336856010568, 'WadeDavis_2003': 0.9381835473133618}"
seagreenHoppip,"['uda.kernel_size=3', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9353376809992263,"{'AlGore_2009': 0.9761904761904762, 'BarrySchwartz_2005G': 0.9237545565006076, 'BlaiseAguerayArcas_2007': 0.9481830417227456, 'BrianCox_2009U': 0.9357021996615905, 'CraigVenter_2008': 0.9577464788732394, 'DavidMerrill_2009': 0.9370629370629371, 'ElizabethGilbert_2009': 0.9062087186261559, 'WadeDavis_2003': 0.9412743699476938}"
seagreenSandslash,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9289819829777827,"{'AlGore_2009': 0.9693877551020408, 'BarrySchwartz_2005G': 0.9064398541919806, 'BlaiseAguerayArcas_2007': 0.9468371467025573, 'BrianCox_2009U': 0.937394247038917, 'CraigVenter_2008': 0.9676884838442419, 'DavidMerrill_2009': 0.9423076923076923, 'ElizabethGilbert_2009': 0.8892998678996037, 'WadeDavis_2003': 0.9377080361388492}"
darkgreenScizor,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9439593235326628,"{'AlGore_2009': 0.9778911564625851, 'BarrySchwartz_2005G': 0.939854191980559, 'BlaiseAguerayArcas_2007': 0.9502018842530283, 'BrianCox_2009U': 0.9424703891708968, 'CraigVenter_2008': 0.9652029826014913, 'DavidMerrill_2009': 0.9554195804195804, 'ElizabethGilbert_2009': 0.9183619550858653, 'WadeDavis_2003': 0.9434141702330004}"
siennaRaichu,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9458936664087543,"{'AlGore_2009': 0.9778911564625851, 'BarrySchwartz_2005G': 0.93408262454435, 'BlaiseAguerayArcas_2007': 0.9596231493943472, 'BrianCox_2009U': 0.9475465313028765, 'CraigVenter_2008': 0.9693454846727423, 'DavidMerrill_2009': 0.9536713286713286, 'ElizabethGilbert_2009': 0.922324966974901, 'WadeDavis_2003': 0.9467427484545887}"
